Scenario,activity,parameter,param default,param plus 20,param minus 20,lca default,lca plus 20,lca minus 20,sensitivity ratio
79,"heat production, at industrial furnace >100kW, biomethane, heating w/ CCS",Dinitrogen monoxide,1.05263157894737e-07,1.263157894736844e-07,8.42105263157896e-08,-1.1767840127127882,-1.1767840127127882,-1.1767840127127882,-0.0
80,"heat production, at industrial furnace >100kW, biomethane, heating w/ CCS",Butane,7.36842105263159e-07,8.842105263157907e-07,5.894736842105273e-07,-1.1767840127127882,-1.1767840127127882,-1.1767840127127882,-0.0
81,"heat production, at industrial furnace >100kW, biomethane, heating w/ CCS",Propane,2.10526315789474e-07,2.526315789473688e-07,1.684210526315792e-07,-1.1767840127127882,-1.1767840127127882,-1.1767840127127882,-0.0
82,"heat production, at industrial furnace >100kW, natural gas, heating","market group for natural gas, high pressure",0.028998115122517,0.0347977381470204,0.023198492098013602,-1.1767840127127882,-1.1767840127127882,-1.1767840127127882,-0.0
83,"heat production, at industrial furnace >100kW, natural gas, heating","market group for electricity, low voltage",0.00116842105263158,0.0014021052631578961,0.0009347368421052641,-1.1767840127127882,-1.1767840127127882,-1.1767840127127882,-0.0
84,"heat production, at industrial furnace >100kW, natural gas, heating","industrial furnace production, natural gas",2.94736842105264e-09,3.536842105263168e-09,2.3578947368421123e-09,-1.1767840127127882,-1.1767840127127882,-1.1767840127127882,-0.0
85,"heat production, at industrial furnace >100kW, natural gas, heating","Carbon dioxide, fossil",0.0589473684210527,0.07073684210526324,0.04715789473684216,-1.1767840127127882,-1.1767840127127882,-1.1767840127127882,-0.0
46,"heat production, at industrial furnace >100kW, biomethane w/ CCS","market group for electricity, low voltage",0.00116842105263158,0.0014021052631578961,0.0009347368421052641,-1.1767840127127882,-1.1767840127127882,-1.1767840127127882,-0.0
0,"heat production, at industrial furnace >100kW, natural gas, heating w/ CCS","market group for natural gas, high pressure",0.028998115122517,0.0347977381470204,0.023198492098013602,-1.1767840127127882,-1.1767840127127882,-1.1767840127127882,-0.0
6,"heat production, at industrial furnace >100kW, natural gas, heating w/ CCS","Methane, fossil",2.10526315789474e-06,2.5263157894736878e-06,1.684210526315792e-06,-1.1767840127127882,-1.1767840127127882,-1.1767840127127882,-0.0
9,"heat production, at industrial furnace >100kW, natural gas, heating w/ CCS",Propane,2.10526315789474e-07,2.526315789473688e-07,1.684210526315792e-07,-1.1767840127127882,-1.1767840127127882,-1.1767840127127882,-0.0
4,"heat production, at industrial furnace >100kW, natural gas, heating w/ CCS","Carbon dioxide, fossil",0.005894736842105269,0.007073684210526322,0.004715789473684215,-1.1767840127127882,-1.1767840127127882,-1.1767840127127882,-0.0
8,"heat production, at industrial furnace >100kW, natural gas, heating w/ CCS",Butane,7.36842105263159e-07,8.842105263157907e-07,5.894736842105273e-07,-1.1767840127127882,-1.1767840127127882,-1.1767840127127882,-0.0
2,"heat production, at industrial furnace >100kW, natural gas, heating w/ CCS","industrial furnace production, natural gas",2.94736842105264e-09,3.536842105263168e-09,2.3578947368421123e-09,-1.1767840127127882,-1.1767840127127882,-1.1767840127127882,-0.0
3,"heat production, at industrial furnace >100kW, natural gas, heating w/ CCS","carbon dioxide capture, chemical absorption, with transport and storage, 200 km pipeline sotage 1000m",0.05305263157894743,0.06366315789473691,0.04244210526315795,-1.1767840127127882,-1.1767840127127882,-1.1767840127127882,-0.0
7,"heat production, at industrial furnace >100kW, natural gas, heating w/ CCS",Dinitrogen monoxide,1.05263157894737e-07,1.263157894736844e-07,8.42105263157896e-08,-1.1767840127127882,-1.1767840127127882,-1.1767840127127882,-0.0
5,"heat production, at industrial furnace >100kW, natural gas, heating w/ CCS","Carbon monoxide, fossil",2.21052631578948e-06,2.652631578947376e-06,1.7684210526315842e-06,-1.1767840127127882,-1.1767840127127882,-1.1767840127127882,-0.0
130,"carbon dioxide capture, chemical absorption, with transport and storage, 200 km pipeline sotage 1000m","market for pump, 40W",5.79e-10,6.947999999999999e-10,4.632e-10,-1.1767840127127882,-1.1767840121552329,-1.1767840132711553,-2.370703658209729e-09
20,"heat production, at industrial furnace >100kW, biomethane w/ CCS, heating w/ CCS",Propane,2.10526315789474e-07,2.526315789473688e-07,1.684210526315792e-07,-1.1767840127127882,-1.1767840043279567,-1.1767840210976197,-3.562604269435935e-08
19,"heat production, at industrial furnace >100kW, biomethane w/ CCS, heating w/ CCS",Butane,7.36842105263159e-07,8.842105263157907e-07,5.894736842105273e-07,-1.1767840127127882,-1.1767840039087147,-1.1767840215168612,-3.74073455838279e-08
126,"carbon dioxide capture, chemical absorption, with transport and storage, 200 km pipeline sotage 1000m","heat pump production, heat and power co-generation unit, 160kW electrical",8.27e-11,9.924e-11,6.616e-11,-1.1767840127127882,-1.1767839898005663,-1.1767840356253065,-9.735163744915623e-08
115,"biogas upgrading to biomethane, pressure swing adsorption w/ CCS",market for potassium hydroxide,3.98e-06,4.776e-06,3.1840000000000003e-06,-1.1767840127127882,-1.1767837604877092,-1.1767842649428892,-1.0716817500555701e-06
129,"carbon dioxide capture, chemical absorption, with transport and storage, 200 km pipeline sotage 1000m","market for liquid storage tank, chemicals, organics",5.14e-12,6.168e-12,4.112e-12,-1.1767840127127882,-1.1767831221137846,-1.1767849033118651,-3.784037812682059e-06
31,"biogas upgrading to biomethane, chemical scrubbing w/ CCS","market for sodium chloride, powder",9.29e-05,0.00011147999999999998,7.432e-05,-1.1767840127127882,-1.1767825708382798,-1.176785454588545,-6.126337191223641e-06
